_EST_NORM,n,codigos,ejemplos
LICEO CLASICO EN COMPUTACION,6,"['00-01-0759-46', '00-01-7667-46', '00-01-7670-46', '00-01-7728-46', '00-01-9849-46', '00-01-9850-46']",['LICEO CLASICO EN COMPUTACION']
COLEGIO TECNOLOGICO CENTRO CULTURAL DE LAS AMERICAS,6,"['00-01-0555-46', '00-01-0557-46', '00-01-0560-46', '00-01-0562-46', '00-01-0672-46', '00-01-0752-46']",['COLEGIO TECNOLOGICO CENTRO CULTURAL DE LAS AMERICAS']
INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,6,"['00-07-0080-46', '00-07-0093-46', '00-07-0220-46', '00-07-9260-46', '00-07-9261-46', '00-07-9785-46']",['INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO']
COLEGIO TECNICO MODERNO,6,"['00-03-0034-46', '00-03-8572-46', '00-03-8574-46', '00-03-8576-46', '00-03-8579-46', '00-03-8581-46']",['COLEGIO TECNICO MODERNO']
COLEGIO CENTRO CULTURAL CAMPO REAL,6,"['20-04-0065-46', '20-04-0069-46', '20-04-0131-46', '20-04-0134-46', '20-04-0135-46', '20-04-0256-46']",['COLEGIO CENTRO CULTURAL CAMPO REAL']
COLEGIO DE ESTUDIOS AVANZADOS GUATEMALTECO,6,"['01-08-0883-46', '01-08-8945-46', '01-08-8946-46', '01-08-9127-46', '01-08-9565-46', '01-15-0450-46']",['COLEGIO DE ESTUDIOS AVANZADOS GUATEMALTECO']
COLEGIO PRIVADO MIXTO BELEN,6,"['00-19-0098-46', '00-19-7527-46', '00-19-8378-46', '00-19-9315-46', '00-19-9316-46', '00-19-9317-46']",['COLEGIO PRIVADO MIXTO BELEN']
COLEGIO DE FORMACION PROFESIONAL EN COMPUTACION C F P C,6,"['00-01-9454-46', '00-01-9455-46', '00-06-7958-46', '00-06-7959-46', '00-18-0223-46', '00-18-8926-46']",['COLEGIO DE FORMACION PROFESIONAL EN COMPUTACION C F P C']
CENTRO EDUCATIVO LOS SAUCES,6,"['00-07-0026-46', '00-07-0029-46', '00-07-0216-46', '00-07-8591-46', '00-07-8593-46', '00-07-8595-46']",['CENTRO EDUCATIVO LOS SAUCES']
LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA,6,"['03-01-1335-46', '03-01-1336-46', '03-12-0021-46', '03-12-0022-46', '03-12-0043-46', '03-12-0100-46']",['LICEO DE COMPUTACION CIENCIA Y TECNOLOGIA']
ESCUELA PRIVADA MIXTA DE FORMACION ARTISTICA QUETZALTENANGO,6,"['09-01-0331-46', '09-01-0380-46', '09-01-0511-46', '09-01-3234-46', '09-01-3953-46', '09-01-3992-46']",['ESCUELA PRIVADA MIXTA DE FORMACION ARTISTICA QUETZALTENANGO']
LICEO CRISTIANO HISPANOAMERICANO,6,"['04-01-0165-46', '04-01-0167-46', '04-01-0261-46', '04-01-0262-46', '04-01-0319-46', '04-01-0331-46']",['LICEO CRISTIANO HISPANOAMERICANO']
COLEGIO PRIVADO MIXTO ISAAC NEWTON,6,"['09-01-3238-46', '09-01-3240-46', '09-23-0001-46', '09-23-0012-46', '09-23-0049-46', '09-23-3806-46']",['COLEGIO PRIVADO MIXTO ISAAC NEWTON']
COLEGIO PRIVADO MIXTO ELIM,6,"['10-17-0020-46', '10-17-0021-46', '10-17-0043-46', '10-17-2328-46', '10-17-2471-46', '10-17-2533-46']",['COLEGIO PRIVADO MIXTO ELIM']
COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES,6,"['17-13-0117-46', '17-13-0118-46', '17-13-0119-46', '17-13-0120-46', '17-13-0143-46', '17-13-0148-46']",['COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES']
LICEO COMPU MARKET,6,"['01-15-0230-46', '01-15-0673-46', '01-15-8403-46', '01-15-9275-46', '01-15-9276-46', '01-15-9498-46']",['LICEO COMPU MARKET']
LICEO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,6,"['17-12-0127-46', '17-12-0129-46', '17-12-0133-46', '17-12-0134-46', '17-12-0145-46', '17-12-0176-46']",['LICEO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI']
INSTITUTO TECNOLOGICO PRIVADO MIXTO EVANGELICO SUNESIS,6,"['12-29-0026-46', '12-29-0029-46', '12-29-0031-46', '12-29-0032-46', '12-29-0039-46', '12-29-5026-46']",['INSTITUTO TECNOLOGICO PRIVADO MIXTO EVANGELICO SUNESIS']
COLEGIO PROYECTO EDUCATIVO FUTURISTA,6,"['00-01-8736-46', '00-07-9677-46', '00-07-9678-46', '01-08-0805-46', '01-08-9667-46', '01-08-9668-46']",['COLEGIO PROYECTO EDUCATIVO FUTURISTA']
COLEGIO PRIVADO MIXTO SAN JOSE,6,"['18-01-0356-46', '18-01-0407-46', '18-01-0472-46', '18-01-0473-46', '18-04-0231-46', '18-04-0232-46']",['COLEGIO PRIVADO MIXTO SAN JOSE']
COLEGIO CRISTIANO BILINGUE BLUE SKY,6,"['12-07-0202-46', '12-07-0205-46', '12-07-0206-46', '12-07-0225-46', '12-07-0235-46', '12-07-0242-46']",['COLEGIO CRISTIANO BILINGUE BLUE SKY']
LIBERTY COLLEGE,6,"['19-03-0015-46', '19-03-1200-46', '19-03-1201-46']",['LIBERTY COLLEGE']
COLEGIO PRIVADO MIXTO LA ENSENANZA,6,"['16-04-0072-46', '16-04-0078-46', '16-04-0122-46', '16-04-8322-46', '16-04-8324-46', '16-04-9906-46']",['COLEGIO PRIVADO MIXTO LA ENSENANZA']
COLEGIO PRIVADO MIXTO PAMAXAN,6,"['10-13-0048-46', '10-13-0049-46', '10-13-0050-46', '10-13-0051-46', '10-13-0056-46', '10-13-0059-46']",['COLEGIO PRIVADO MIXTO PAMAXAN']
COLEGIO PRIVADO MIXTO NUESTRA SENORA DEL CARMEN,6,"['10-01-0184-46', '10-01-0189-46', '10-01-0190-46', '10-01-0191-46', '10-01-0363-46', '10-01-0400-46']",['COLEGIO PRIVADO MIXTO NUESTRA SENORA DEL CARMEN']
LICEO ROMANO AMERICANO,6,"['00-01-0836-46', '00-01-0839-46', '01-01-0018-46', '01-01-0019-46', '01-01-0022-46', '01-01-0023-46']",['LICEO ROMANO AMERICANO']
LICEO CRISTIANO MIXTO LA FE,6,"['11-01-0427-46', '11-01-0429-46', '11-01-0431-46']",['LICEO CRISTIANO MIXTO LA FE']
COLEGIO PRIVADO MIXTO RAFAEL LANDIVAR,6,"['10-01-0181-46', '10-01-0182-46', '10-01-0183-46', '13-01-0291-46', '13-01-1685-46', '13-01-6789-46']",['COLEGIO PRIVADO MIXTO RAFAEL LANDIVAR']
LICEO COMERCIAL ENTRE VALLES,6,"['01-03-0117-46', '01-03-0118-46', '01-03-0119-46', '01-03-0120-46', '01-03-0178-46', '01-03-0196-46']",['LICEO COMERCIAL ENTRE VALLES']
LICEO CANADIENSE SOCIEDAD ANONIMA BOSQUES DE SAN NICOLAS,6,"['01-08-0316-46', '01-08-0318-46', '01-08-0319-46', '01-08-0321-46', '01-08-0322-46', '01-08-0783-46']",['LICEO CANADIENSE SOCIEDAD ANONIMA BOSQUES DE SAN NICOLAS']
COLEGIO PRIVADO RAFAEL LANDIVAR,6,"['10-01-0281-46', '10-01-0282-46', '10-01-0283-46', '10-01-0284-46', '10-01-0285-46', '10-01-0381-46']",['COLEGIO PRIVADO RAFAEL LANDIVAR']
LICEO CANADIENSE SUR,6,"['00-12-0059-46', '00-12-0137-46', '00-12-8819-46', '00-12-8821-46', '00-12-8824-46', '00-12-8825-46']",['LICEO CANADIENSE SUR']
LICEO TECNOLOGICO JAVIER MARTINEZ,6,"['11-01-0236-46', '11-01-0237-46', '11-01-0468-46']",['LICEO TECNOLOGICO JAVIER MARTINEZ']
COLEGIO JOSE BATRES MONTUFAR,6,"['11-01-0292-46', '11-01-0293-46', '11-01-0513-46']",['COLEGIO JOSE BATRES MONTUFAR']
LICEO PRIVADO MIXTO TUMBADORENSE,6,"['12-13-0075-46', '12-13-0076-46', '12-13-0077-46', '12-13-0078-46', '12-13-0085-46', '12-13-4524-46']",['LICEO PRIVADO MIXTO TUMBADORENSE']
LICEO TECNOLOGICO MAHANAIM,6,"['01-15-0640-46', '01-15-0644-46', '01-15-0701-46', '01-15-0702-46', '01-15-0703-46', '01-15-0759-46']",['LICEO TECNOLOGICO MAHANAIM']
INSTITUTO PRIVADO MIXTO EDUARDO ORELLANA MATTA,6,"['11-01-0225-46', '11-01-0226-46', '11-01-0230-46']",['INSTITUTO PRIVADO MIXTO EDUARDO ORELLANA MATTA']
INSTITUTO PRIVADO MIXTO JOSE ERNESTO MONZON,6,"['10-01-0296-46', '10-01-0321-46', '10-01-0338-46', '10-01-0395-46', '10-01-2484-46', '10-01-2485-46']",['INSTITUTO PRIVADO MIXTO JOSE ERNESTO MONZON']
CENTRO EDUCATIVO PRIVADO MIXTO VISION INTEGRAL CEVI,6,"['17-10-0273-46', '17-10-0274-46', '17-10-0284-46', '17-10-0337-46', '17-10-0338-46', '17-10-0357-46']",['CENTRO EDUCATIVO PRIVADO MIXTO VISION INTEGRAL CEVI']
INSTITUTO PRIVADO MIXTO CONCEPCION,6,"['10-01-0397-46', '10-08-0022-46', '10-08-0024-46', '10-08-0025-46', '10-08-0026-46', '10-08-0031-46']",['INSTITUTO PRIVADO MIXTO CONCEPCION']
CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,6,"['03-04-0005-46', '03-04-0024-46', '03-04-0026-46', '03-04-0060-46', '03-04-0079-46', '03-04-0082-46']",['CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM']
INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES,6,"['10-01-0096-46', '13-01-0071-46', '17-04-0483-46', '17-11-0361-46', '20-06-0491-46', '22-04-0604-46']",['INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES']
TECNOLOGICO PREUNIVERSITARIO,6,"['04-01-0058-46', '04-01-0230-46', '04-01-0357-46', '04-01-3067-46', '04-01-3068-46', '04-01-3245-46']",['TECNOLOGICO PREUNIVERSITARIO']
LICEO TECNOLOGICO BILINGUE EL ROBLE,5,"['04-01-0291-46', '04-05-0016-46', '04-05-0017-46', '04-05-0021-46', '04-05-0023-46']",['LICEO TECNOLOGICO BILINGUE EL ROBLE']
LICEO TECNOLOGICO BILINGUE GENESIS,5,"['22-01-0368-46', '22-01-0369-46', '22-01-0370-46', '22-01-0371-46', '22-01-0401-46']",['LICEO TECNOLOGICO BILINGUE GENESIS']
INSTITUTO PRIVADO MIXTO DE LEON,5,"['13-32-0041-46', '13-32-0043-46', '13-32-0044-46', '13-32-0047-46', '13-32-0048-46']",['INSTITUTO PRIVADO MIXTO DE LEON']
CENTRO EDUCATIVO TECNICO PORTILLO CETPORT,5,"['17-08-0063-46', '17-14-0032-46', '17-14-0083-46', '17-14-0084-46', '17-14-0100-46']",['CENTRO EDUCATIVO TECNICO PORTILLO CETPORT']
INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ CIENCIA Y DESARROLLO,5,"['19-01-0670-46', '19-01-1069-46', '21-01-0320-46']",['INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ CIENCIA Y DESARROLLO']
INSTITUTO PRIVADO FUENTE DEL SABER,5,"['17-09-0005-46', '17-09-0329-46', '17-09-0331-46', '17-09-4156-46', '17-10-0016-46']",['INSTITUTO PRIVADO FUENTE DEL SABER']
INSTITUTO PREUNIVERSITARIO DE IZABAL PREU,5,"['18-01-0200-46', '18-01-0203-46', '18-01-0205-46', '18-01-0319-46', '18-01-0434-46']",['INSTITUTO PREUNIVERSITARIO DE IZABAL PREU']
CENTRO EDUCATIVO PRIVADO YATZAR NURIM,5,"['18-04-0081-46', '18-04-0083-46', '18-04-0213-46', '18-04-0214-46', '18-04-0484-46']",['CENTRO EDUCATIVO PRIVADO YATZAR NURIM']
CENTRO EDUCATIVO PRIVADO MIXTO INNOVADOR,5,"['02-03-0133-46', '02-03-0134-46', '02-03-0135-46', '02-03-0136-46', '02-03-0146-46']",['CENTRO EDUCATIVO PRIVADO MIXTO INNOVADOR']
INSTITUTO PRIVADO MIXTO DR JUAN JOSE AREVALO BERMEJO,5,"['18-04-0236-46', '18-04-0241-46', '18-04-0376-46', '18-04-0462-46', '18-04-0463-46']",['INSTITUTO PRIVADO MIXTO DR JUAN JOSE AREVALO BERMEJO']
INSTITUTO PRIVADO MIXTO DIVERSIFICADO JACALTENANGO,5,"['13-07-0055-46', '13-07-0056-46', '13-07-0063-46', '13-07-0064-46', '13-07-6385-46']",['INSTITUTO PRIVADO MIXTO DIVERSIFICADO JACALTENANGO']
LICEO JUVENIL DE COMPUTACION C S S,5,"['00-18-0138-46', '00-18-0140-46', '00-18-0226-46', '00-18-7878-46', '00-18-9755-46']",['LICEO JUVENIL DE COMPUTACION C S S']
COLEGIO INTEGRAL HUMANISTICO CHIANTLECO,5,"['13-02-0195-46', '13-02-0216-46', '13-02-0217-46', '13-02-0296-46', '13-02-0313-46']",['COLEGIO INTEGRAL HUMANISTICO CHIANTLECO']
COLEGIO MESOAMERICANO,5,"['00-07-8718-46', '00-07-9111-46', '00-07-9539-46', '04-01-2870-46', '04-09-2981-46']",['COLEGIO MESOAMERICANO']
COLEGIO MAYBAL,5,"['00-01-7293-46', '00-01-7294-46', '00-01-7295-46', '00-01-7297-46', '00-01-7298-46']",['COLEGIO MAYBAL']
COLEGIO KEPLER,5,"['00-01-0315-46', '00-01-8810-46', '00-01-8812-46', '00-01-8813-46', '00-03-7028-46']",['COLEGIO KEPLER']
COLEGIO JUAN PABLO II,5,"['13-02-0209-46', '13-02-0210-46', '13-02-0267-46', '13-02-0290-46', '13-02-0317-46']",['COLEGIO JUAN PABLO II']
COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,5,"['05-01-0231-46', '05-01-0259-46', '05-01-0336-46', '05-01-0442-46', '05-01-0473-46']",['COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC']
COLEGIO INTERNACIONAL CAMBRIDGE CIS,5,"['00-01-0339-46', '00-01-0340-46', '00-01-0584-46', '00-01-0585-46', '00-01-0832-46']",['COLEGIO INTERNACIONAL CAMBRIDGE CIS']
COLEGIO INTERCULTURAL PRIVADO MIXTO CIENCIA APLICADA,5,"['13-05-0052-46', '13-05-0054-46', '13-05-0055-46', '13-30-0017-46', '13-30-0018-46']",['COLEGIO INTERCULTURAL PRIVADO MIXTO CIENCIA APLICADA']
COLEGIO INTERCIENTIFICO MULTILINGUE Y MULTIVERSIDAD MUNDO REAL,5,"['12-04-0125-46', '12-04-0126-46', '12-04-0127-46', '12-04-0219-46', '12-04-0221-46']",['COLEGIO INTERCIENTIFICO MULTILINGUE Y MULTIVERSIDAD MUNDO REAL']
LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA,5,"['00-01-0790-46', '00-01-7839-46', '00-01-7840-46', '00-01-7841-46', '00-01-9187-46']",['LICEO PROFESIONAL DE INFORMATICA Y TECNOLOGIA']
LICEO PROFESIONAL DE COMPUTACION MANUEL GALICH,5,"['01-16-0098-46', '01-16-0099-46', '01-16-0181-46', '01-16-4197-46', '01-16-8748-46']",['LICEO PROFESIONAL DE COMPUTACION MANUEL GALICH']
CENTRO DE EDUCACION INTEGRAL EL NARANJO,5,"['17-05-0211-46', '17-05-0260-46', '17-05-0317-46', '17-05-0319-46', '17-05-0335-46']",['CENTRO DE EDUCACION INTEGRAL EL NARANJO']
LICEO PRIVADO MIXTO MONTESSORI,5,"['13-01-7082-46', '13-01-7083-46', '13-24-0016-46', '13-24-0017-46', '13-24-0042-46']",['LICEO PRIVADO MIXTO MONTESSORI']
COLEGIO PRIVADO SAN FRANCISCO DE ASIS,5,"['09-01-0479-46', '22-07-0023-46', '22-07-0026-46', '22-07-0029-46', '22-07-0031-46']",['COLEGIO PRIVADO SAN FRANCISCO DE ASIS']
COLEGIO PRIVADO MONTE ALTO,5,"['21-01-0349-46', '21-01-0350-46', '21-01-0352-46', '21-01-0366-46', '21-01-0409-46']",['COLEGIO PRIVADO MONTE ALTO']
LICEO APLICADO EN COMPUTACION,5,"['00-01-0420-46', '00-01-8891-46', '04-01-2556-46', '05-01-2067-46', '05-01-2103-46']",['LICEO APLICADO EN COMPUTACION']
LICEO ALVAREZ OVALLE,5,"['18-04-0174-46', '18-04-0176-46', '18-04-0177-46', '18-04-0228-46', '18-04-0503-46']",['LICEO ALVAREZ OVALLE']
CENTRO EDUCATIVO INMACULADA CONCEPCION,5,"['00-18-0070-46', '00-18-0073-46', '00-18-0075-46', '00-18-0077-46', '00-18-0228-46']",['CENTRO EDUCATIVO INMACULADA CONCEPCION']
CENTRO EDUCATIVO EL PODEROSO DE ISRAEL,5,"['01-08-0186-46', '01-08-1011-46', '01-08-1012-46', '01-08-1014-46', '01-08-1016-46']",['CENTRO EDUCATIVO EL PODEROSO DE ISRAEL']
LICEO COMERCIAL NUEVA ENSENANZA,5,"['17-09-0002-46', '17-09-0160-46', '17-09-0333-46', '17-09-2453-46', '17-09-3725-46']",['LICEO COMERCIAL NUEVA ENSENANZA']
COLEGIO CRISTIANO GENERACION DEL TERCER MILENIO,5,"['12-27-0015-46', '12-27-0017-46', '12-27-0018-46', '12-27-0028-46', '12-27-0029-46']",['COLEGIO CRISTIANO GENERACION DEL TERCER MILENIO']
COLEGIO PRIVADO MIXTO SABIDURIA Y EXITO,5,"['10-13-0039-46', '10-13-0040-46', '10-13-0060-46', '10-14-0040-46', '10-14-0041-46']",['COLEGIO PRIVADO MIXTO SABIDURIA Y EXITO']
COLEGIO PRIVADO MIXTO ROSARIO,5,"['10-01-0161-46', '10-01-0329-46', '10-01-0388-46', '10-01-2279-46', '10-01-2285-46']",['COLEGIO PRIVADO MIXTO ROSARIO']
COLEGIO CRISTIANO MIXTO BETHEL,5,"['12-16-0041-46', '12-16-0043-46', '12-16-0044-46', '12-16-0045-46', '12-16-0049-46']",['COLEGIO CRISTIANO MIXTO BETHEL']
COLEGIO PRIVADO MIXTO LICEO MODERNO,5,"['09-01-0499-46', '09-01-3609-46', '09-01-3615-46', '09-01-3616-46', '09-01-3956-46']",['COLEGIO PRIVADO MIXTO LICEO MODERNO']
COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,5,"['16-07-0194-46', '16-07-0195-46', '16-07-0252-46', '16-07-0253-46', '16-07-9096-46']",['COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO']
COLEGIO CRISTIANO SHEKINA,5,"['12-16-0028-46', '12-16-0029-46', '12-16-0047-46', '12-16-5374-46', '12-16-5375-46']",['COLEGIO CRISTIANO SHEKINA']
COLEGIO CRISTIANO SECRETARIAL LA LUZ,5,"['01-10-0075-46', '01-10-0093-46', '01-10-0185-46', '01-10-0186-46', '01-10-0303-46']",['COLEGIO CRISTIANO SECRETARIAL LA LUZ']
COLEGIO CRISTIANO PRIVADO MIXTO CRISTO VIENE,5,"['18-01-0145-46', '18-01-0211-46', '18-01-0276-46', '18-01-0409-46', '18-01-0432-46']",['COLEGIO CRISTIANO PRIVADO MIXTO CRISTO VIENE']
COLEGIO PRIVADO MIXTO SAN ANDRES,5,"['01-17-0128-46', '01-17-0288-46', '04-13-0017-46', '04-13-0022-46', '04-13-0598-46']",['COLEGIO PRIVADO MIXTO SAN ANDRES']
COLEGIO SAGRADO CORAZON,5,"['12-01-0054-46', '21-01-0256-46', '21-01-0297-46', '21-01-0405-46', '21-01-1379-46']",['COLEGIO SAGRADO CORAZON']
COLEGIO SAGRADA FAMILIA,5,"['09-01-0330-46', '16-09-0844-46', '16-09-0863-46', '16-09-0932-46', '17-03-3827-46']",['COLEGIO SAGRADA FAMILIA']
COLEGIO RAFAEL AREVALO MARTINEZ,5,"['01-15-0234-46', '01-15-0479-46', '01-15-0677-46', '01-15-7698-46', '01-15-8535-46']",['COLEGIO RAFAEL AREVALO MARTINEZ']
COLEGIO PROFESIONAL EN COMPUTACION S A,5,"['00-01-7964-46', '00-08-6982-46', '00-11-2357-46', '00-12-3002-46', '00-12-3130-46']",['COLEGIO PROFESIONAL EN COMPUTACION S A']
COLEGIO PRIVADO URBANO MIXTO LICEO MODERNO,5,"['12-30-0056-46', '12-30-0057-46', '12-30-0065-46', '12-30-0082-46', '12-30-0089-46']",['COLEGIO PRIVADO URBANO MIXTO LICEO MODERNO']
INSTITUTO Y ACADEMIA PRACTICA COMERCIAL,5,"['00-01-0253-46', '00-01-0754-46', '00-01-2871-46', '00-01-6994-46', '00-21-7214-46']",['INSTITUTO Y ACADEMIA PRACTICA COMERCIAL']
LICEO MIXTO NUESTRA SENORA DE FATIMA,5,"['03-01-0140-46', '03-01-1087-46', '03-01-1098-46', '03-01-1228-46', '03-01-1229-46']",['LICEO MIXTO NUESTRA SENORA DE FATIMA']
CENTRO EDUCATIVO DEMOSOFT,5,"['00-21-0046-46', '00-21-0047-46', '00-21-0049-46', '00-21-0050-46', '00-21-0084-46']",['CENTRO EDUCATIVO DEMOSOFT']
COLEGIO PRIVADO MIXTO JACOBO ARBENZ GUZMAN,5,"['17-10-0207-46', '17-10-0248-46', '17-10-0249-46', '17-10-0250-46', '17-10-0365-46']",['COLEGIO PRIVADO MIXTO JACOBO ARBENZ GUZMAN']
COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA,5,"['10-12-0007-46', '10-12-0008-46', '10-12-0009-46', '10-12-0010-46', '10-12-0018-46']",['COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA']
COLEGIO PRIVADO MIXTO EMANUEL,5,"['12-15-0172-46', '12-15-0173-46', '12-15-0175-46', '12-15-0201-46', '13-01-6391-46']",['COLEGIO PRIVADO MIXTO EMANUEL']
COLEGIO PRIVADO MIXTO EL FORMADOR,5,"['13-14-0015-46', '13-14-0017-46', '17-03-0120-46', '17-03-0121-46', '17-03-0141-46']",['COLEGIO PRIVADO MIXTO EL FORMADOR']
COLEGIO DE COMPUTACION BLAISE PASCAL,5,"['00-01-2983-46', '00-01-2984-46', '00-02-4200-46', '00-02-9721-46', '00-02-9729-46']",['COLEGIO DE COMPUTACION BLAISE PASCAL']
COLEGIO PRIVADO MIXTO CENTRO DE ESTUDIOS AVANZADOS NUEVO HORIZONTE,5,"['10-02-2223-46', '10-02-2224-46', '10-21-0081-46', '10-21-0082-46', '10-21-0083-46']",['COLEGIO PRIVADO MIXTO CENTRO DE ESTUDIOS AVANZADOS NUEVO HORIZONTE']
LICEO REGIOMONTANO,5,"['00-01-0739-46', '00-01-8838-46', '00-01-8839-46', '00-01-8842-46', '00-01-9600-46']",['LICEO REGIOMONTANO']
LICEO QUESADENCE,5,"['22-15-0029-46', '22-17-0016-46', '22-17-0034-46', '22-17-0035-46', '22-17-0042-46']",['LICEO QUESADENCE']
LICEO PROFESIONAL EN COMPUTACION Y CIENCIAS COMERCIALES,5,"['00-01-0738-46', '00-01-7160-46', '00-01-7161-46', '00-01-7162-46', '00-01-7163-46']",['LICEO PROFESIONAL EN COMPUTACION Y CIENCIAS COMERCIALES']
COLEGIO TECNICO SUIZO,5,"['01-16-0150-46', '01-16-0151-46', '01-17-0266-46', '01-17-0369-46', '01-17-0370-46']",['COLEGIO TECNICO SUIZO']
COLEGIO TECNICO PRIVADO MIXTO EL SHADDAI,5,"['09-21-0050-46', '09-21-0053-46', '09-21-0062-46', '09-21-0067-46', '09-21-0071-46']",['COLEGIO TECNICO PRIVADO MIXTO EL SHADDAI']
COLEGIO STHELLA DE HERNANDEZ,5,"['16-09-0721-46', '16-09-0756-46', '16-09-0812-46', '16-09-9258-46', '16-09-9259-46']",['COLEGIO STHELLA DE HERNANDEZ']
COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL,5,"['03-01-0245-46', '03-01-1340-46', '03-01-1341-46', '03-01-1343-46', '03-01-1344-46']",['COLEGIO SISTEMA EDUCATIVO LATINOAMERICANO SEL']
LICEO MIXTO EN COMPUTACION MONTELIMAR,5,"['00-01-8931-46', '00-01-8932-46', '00-01-8935-46', '00-01-8936-46', '00-01-9192-46']",['LICEO MIXTO EN COMPUTACION MONTELIMAR']
LICEO MIXTO EN COMPUTACION IXCHEL,5,"['00-01-0784-46', '00-01-7009-46', '00-01-7096-46', '00-01-7644-46', '00-01-9088-46']",['LICEO MIXTO EN COMPUTACION IXCHEL']
INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,5,"['20-01-0033-46', '20-01-0164-46', '20-01-0204-46', '20-01-0315-46', '20-01-2378-46']",['INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE']
INSTITUTO TECNOLOGICO PRIVADO DE OCCIDENTE,5,"['09-01-0147-46', '09-01-0274-46', '09-01-0493-46', '09-01-3649-46', '09-01-3775-46']",['INSTITUTO TECNOLOGICO PRIVADO DE OCCIDENTE']
INSTITUTO TECNOLOGICO PRIVADO DE COATEPEQUE,5,"['09-20-0087-46', '09-20-0088-46', '09-20-0132-46', '09-20-0654-46', '09-20-0824-46']",['INSTITUTO TECNOLOGICO PRIVADO DE COATEPEQUE']
COLEGIO VALVERDE,5,"['00-01-0820-46', '00-01-9170-46', '00-01-9172-46', '00-01-9173-46', '00-01-9468-46']",['COLEGIO VALVERDE']
COLEGIO TECNOLOGICO PIEDRA PARTIDA,5,"['12-24-0042-46', '12-24-0054-46', '12-24-0055-46', '12-24-0056-46', '12-24-0064-46']",['COLEGIO TECNOLOGICO PIEDRA PARTIDA']
COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,5,"['10-01-0195-46', '10-01-0196-46', '10-01-0404-46', '10-01-2289-46', '10-01-2531-46']",['COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION']
COLEGIO TECNOLOGICO LA MISION,5,"['00-01-0396-46', '00-01-0397-46', '00-01-0398-46', '00-01-0399-46', '00-01-0824-46']",['COLEGIO TECNOLOGICO LA MISION']
COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,5,"['06-01-0103-46', '06-01-0121-46', '06-01-0122-46', '06-01-1675-46', '06-01-1761-46']",['COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO']
COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,5,"['04-01-0345-46', '04-01-2957-46', '04-01-2958-46', '04-01-2961-46', '04-01-2963-46']",['COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO']
INSTITUTO TECNOLOGICO PARTICULAR MIXTO CONCEPCION,5,"['12-06-0006-46', '12-06-0097-46', '12-06-0098-46', '12-06-0152-46', '12-06-5404-46']",['INSTITUTO TECNOLOGICO PARTICULAR MIXTO CONCEPCION']
INSTITUTO TECNOLOGICO GERARDI,5,"['12-22-0003-46', '12-22-0022-46', '12-22-0023-46', '12-22-0035-46', '12-22-5397-46']",['INSTITUTO TECNOLOGICO GERARDI']
INSTITUTO TECNOLOGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,5,"['00-07-0072-46', '00-07-0076-46', '00-07-0077-46', '00-07-0129-46', '00-07-0228-46']",['INSTITUTO TECNOLOGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN']
LICEO DE CIENCIAS APLICADAS DR CARLOS ALDANA MENDOZA,5,"['16-03-0092-46', '16-03-0104-46', '16-03-0105-46', '16-03-0106-46', '16-03-0245-46']",['LICEO DE CIENCIAS APLICADAS DR CARLOS ALDANA MENDOZA']
LICEO CUMORAH PINOS,5,"['00-18-0154-46', '00-18-0155-46', '00-18-0156-46', '00-18-0161-46', '00-18-0220-46']",['LICEO CUMORAH PINOS']
