_EST_NORM,n,codigos,ejemplos
COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,16,"['05-02-0032-46', '05-02-0047-46', '05-02-0080-46', '05-02-0084-46', '05-02-0090-46', '05-02-0091-46', '05-02-0092-46', '05-02-0093-46', '05-02-0223-46', '05-02-0253-46']",['COLEGIO PARTICULAR MIXTO SAGRADO CORAZON']
ESCUELA NORMAL INTERCULTURAL,16,"['01-08-0214-46', '01-08-0349-46', '01-08-8186-46', '02-01-0704-46', '05-01-2550-46', '06-01-0099-46', '06-01-1759-46', '11-08-1354-46', '19-01-0945-46', '20-01-0326-46']",['ESCUELA NORMAL INTERCULTURAL']
INSTITUTO TECNICO INDUSTRIAL HENRY FORD,15,"['20-07-0002-46', '20-07-0003-46', '20-07-0004-46', '20-07-0119-46', '20-07-0149-46', '22-03-0026-46', '22-03-0029-46', '22-03-0030-46', '22-03-0033-46', '22-03-0037-46']",['INSTITUTO TECNICO INDUSTRIAL HENRY FORD']
COLEGIO PRIVADO MIXTO AMERICANO,15,"['10-10-0001-46', '10-10-0046-46', '10-10-0047-46', '10-10-0056-46', '10-10-0057-46', '10-10-0059-46', '10-10-0098-46', '10-10-2680-46', '13-01-0180-46', '13-01-0289-46']",['COLEGIO PRIVADO MIXTO AMERICANO']
INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION,14,"['00-01-0508-46', '00-01-0766-46', '00-01-0768-46', '00-01-0770-46', '00-01-2466-46', '00-01-2467-46', '00-01-2468-46', '00-01-3043-46', '00-01-3046-46', '00-01-4406-46']",['INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION']
CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR CEEX,14,"['14-01-0271-46', '14-06-0072-46', '14-06-0073-46', '14-09-0091-46', '14-13-0125-46', '14-15-0258-46', '14-15-0259-46']",['CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR CEEX']
LICEO CANADIENSE SOCIEDAD ANONIMA,14,"['00-12-0048-46', '00-12-0049-46', '00-12-0051-46', '00-12-0052-46', '00-12-0055-46', '00-12-0056-46', '00-12-0060-46', '00-12-0135-46', '01-08-0194-46', '01-08-0195-46']",['LICEO CANADIENSE SOCIEDAD ANONIMA']
INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA,14,"['03-05-0016-46', '03-08-0021-46', '03-13-0022-46', '04-16-2325-46', '06-04-2039-46', '07-01-0158-46', '07-06-0094-46', '07-09-0023-46', '07-13-0046-46', '07-19-0060-46']",['INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA']
LICEO TECNICO VOCACIONAL GALILEI,14,"['00-01-8833-46', '00-01-8834-46', '00-11-0011-46', '00-11-9843-46', '00-11-9844-46', '00-19-0019-46', '00-19-0020-46', '00-19-0065-46', '00-19-0066-46', '00-19-0067-46']",['LICEO TECNICO VOCACIONAL GALILEI']
COLEGIO MIXTO BILINGUE INTERCULTURAL HERMANO OSCAR AZMITIA,14,"['14-10-0052-46', '14-10-0077-46', '14-10-0078-46', '14-10-0079-46', '14-10-0092-46', '14-10-0102-46', '14-10-4571-46']",['COLEGIO MIXTO BILINGUE INTERCULTURAL HERMANO OSCAR AZMITIA']
