CODIGO,ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,TELEFONO
00-10-0005-46,CENTRO EDUCACIONAL VIDES,CIUDAD CAPITAL,ZONA 10,
00-10-0006-46,COLEGIO PIERMOUNT,CIUDAD CAPITAL,ZONA 10,
00-10-0022-46,COLEGIO BELMONT,CIUDAD CAPITAL,ZONA 10,
00-10-0765-46,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA LICEO SECRETARIAL BILINGUE,CIUDAD CAPITAL,ZONA 10,
00-10-0766-46,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA COLEGIO WHITMAN,CIUDAD CAPITAL,ZONA 10,
00-10-0772-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO AMERICANO BILINGUE CENTRO A B C,CIUDAD CAPITAL,ZONA 10,
00-10-0773-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA FEDERICO VON HAYEK,CIUDAD CAPITAL,ZONA 10,
00-10-0774-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO NALEB,CIUDAD CAPITAL,ZONA 10,
00-10-0776-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MINERVA,CIUDAD CAPITAL,ZONA 10,
00-10-2520-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO MARKAM,CIUDAD CAPITAL,ZONA 10,
00-10-2523-46,COLEGIO EL PUENTE,CIUDAD CAPITAL,ZONA 10,
00-10-4017-46,INSTITUTO TECNICO FEMENINO NOCTURNO,CIUDAD CAPITAL,ZONA 10,
00-10-4653-46,CENTRO DE CAPACITACION Y COLEGIO CRISTIANO BILINGUE EMET VERDAD,CIUDAD CAPITAL,ZONA 10,
00-10-7185-46,INSTITUTO DE TECNOLOGIA MEDICA AMEDESGUA,CIUDAD CAPITAL,ZONA 10,
00-10-7186-46,INSTITUTO DE TECNOLOGIA MEDICA AMEDESGUA,CIUDAD CAPITAL,ZONA 10,
00-10-7534-46,COLEGIO TECNOLOGICO CREATIVO LOS PROCERES,CIUDAD CAPITAL,ZONA 10,
00-10-8629-46,COLEGIO AMERICANO PREUNIVERSITARIO,CIUDAD CAPITAL,ZONA 10,
00-11-0004-46,COLEGIO MIXTO JOSE CECILIO DEL VALLE,CIUDAD CAPITAL,ZONA 11,
00-11-0009-46,COLEGIO BILINGUE MONTE AMERICANO,CIUDAD CAPITAL,ZONA 11,
00-11-0859-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO LAFAYETTE,CIUDAD CAPITAL,ZONA 11,
00-11-0860-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BILINGUE SANTA MARIA,CIUDAD CAPITAL,ZONA 11,
00-11-2357-46,COLEGIO PROFESIONAL EN COMPUTACION S A,CIUDAD CAPITAL,ZONA 11,
00-11-2537-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO PROFESIONAL EN COMPUTACION S A,CIUDAD CAPITAL,ZONA 11,
00-11-2538-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO EDUCATIVO ELIZARDO URIZAR LEAL PLAN SABATINO,CIUDAD CAPITAL,ZONA 11,
00-11-2938-46,COLEGIO MIXTO BILINGUE SANTA MARIA,CIUDAD CAPITAL,ZONA 11,
00-11-3073-46,COLEGIO MIXTO BILINGUE LAS AMERICAS,CIUDAD CAPITAL,ZONA 11,
00-11-3102-46,COLEGIO INTEGRAL GUATEMALTECO DIVERSIFICADO,CIUDAD CAPITAL,ZONA 11,
00-11-3122-46,LICEO ALPHA,CIUDAD CAPITAL,ZONA 11,
00-11-3137-46,CENTRO PROFESIONAL DE ESTUDIOS EN COMPUTACION,CIUDAD CAPITAL,ZONA 11,
00-11-8418-46,LICEO BILINGUE LAS NACIONES,CIUDAD CAPITAL,ZONA 11,
00-11-8876-46,COLEGIO SAN BORJA,CIUDAD CAPITAL,ZONA 11,
00-11-9211-46,COLEGIO AMERICANO PREUNIVERSITARIO,CIUDAD CAPITAL,ZONA 11,
00-11-9799-46,COLEGIO MIXTO DIURNO FRANKLIN DELANO ROOSEVELT,CIUDAD CAPITAL,ZONA 11,
00-11-9828-46,CENTRO EDUCACIONAL DE ESTUDIOS ECONOMICO ADMINISTRATIVOS,CIUDAD CAPITAL,ZONA 11,
00-12-0004-46,CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE,CIUDAD CAPITAL,ZONA 12,
00-12-0005-46,CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE,CIUDAD CAPITAL,ZONA 12,
00-12-0008-46,CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE,CIUDAD CAPITAL,ZONA 12,
00-12-0010-46,CENTRO EDUCATIVO IMB PC EN LINEA IMB PC ONLINE,CIUDAD CAPITAL,ZONA 12,
00-12-0013-46,COLEGIO EVANGELICO LUMINARES,CIUDAD CAPITAL,ZONA 12,
00-12-0909-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO FRANCISCANO 12 DE OCTUBRE,CIUDAD CAPITAL,ZONA 12,
00-12-0910-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA TECNICO MARCO POLO,CIUDAD CAPITAL,ZONA 12,
00-12-3002-46,COLEGIO PROFESIONAL EN COMPUTACION S A,CIUDAD CAPITAL,ZONA 12,
00-12-3130-46,COLEGIO PROFESIONAL EN COMPUTACION S A,CIUDAD CAPITAL,ZONA 12,
00-12-3132-46,COLEGIO MIXTO OSORIO SANDOVAL,CIUDAD CAPITAL,ZONA 12,
00-12-4659-46,COLEGIO MIXTO Y ACADEMIA HALDA,CIUDAD CAPITAL,ZONA 12,
00-12-6247-46,CENTRO INDUSTRIAL NO 3 ADSC A EOUM NO 75 FUERZA AEREA GUATEMALTECA,CIUDAD CAPITAL,ZONA 12,
00-12-6963-46,INSTITUTO DE EDUCACION BASICA Y BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ,CIUDAD CAPITAL,ZONA 12,
00-12-8567-46,INSTITUTO DIVERSIFICADO MIRNA MACK,CIUDAD CAPITAL,ZONA 12,
00-13-0010-46,INSTITUTO DE BACHILLERATO CENTROAMERICANO IBCA,CIUDAD CAPITAL,ZONA 13,
00-13-0947-46,INSTITUTO DE BACHILLERATO POR MADUREZ ADSC A ESCUELA TECNICA DE AVIACION,CIUDAD CAPITAL,ZONA 13,
00-13-2558-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO KARL FRIEDRICH GAUSS,CIUDAD CAPITAL,ZONA 13,
00-13-7903-46,ESCUELA DE COMUNICACIONES Y ELECTRONICA,CIUDAD CAPITAL,ZONA 13,
00-13-8380-46,COLEGIO MARKAM,CIUDAD CAPITAL,ZONA 13,
00-13-8870-46,,CIUDAD CAPITAL,ZONA 13,
00-13-9682-46,INSTITUTO DE BACHILLERATO EN COMPUTACION IBC,CIUDAD CAPITAL,ZONA 13,
00-13-9797-46,INSTITUTO MIXTO NOCTURNO FLAVIO HERRERA,CIUDAD CAPITAL,ZONA 13,
00-14-0958-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO GUATEMALTECO BILINGUE,CIUDAD CAPITAL,ZONA 14,
00-14-0959-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO METROPOLITANO,CIUDAD CAPITAL,ZONA 14,
00-14-2578-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA TECNICO COMERCIAL BILINGUE,CIUDAD CAPITAL,ZONA 14,
00-14-8943-46,COLEGIO HERALDO DEL EVANGELIO,CIUDAD CAPITAL,ZONA 14,
00-14-8945-46,COLEGIO HERALDO DEL EVANGELIO,CIUDAD CAPITAL,ZONA 14,
00-15-2301-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO ALEJANDRO FLEMING,CIUDAD CAPITAL,ZONA 15,
00-16-0005-46,ESCUELA EXPERIMENTAL DE APLICACION MIRON MUNOZ,CIUDAD CAPITAL,ZONA 16,
00-17-2302-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BILINGUE LOURDES,CIUDAD CAPITAL,ZONA 17,
00-17-7001-46,COLEGIO PEDAGOGICO EL VALLE,CIUDAD CAPITAL,ZONA 17,
00-17-9771-46,COLEGIO PANAMERICANO,CIUDAD CAPITAL,ZONA 17,
00-18-0070-46,CENTRO EDUCATIVO INMACULADA CONCEPCION,CIUDAD CAPITAL,ZONA 18,
00-18-1067-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO INDIRA GANDHI,CIUDAD CAPITAL,ZONA 18,
00-18-1068-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA JOSEFINA ANTILLON MILLA,CIUDAD CAPITAL,ZONA 18,
00-18-1069-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO EDUCATIVO INTEGRAL GIRON ALFARO C E I G A,CIUDAD CAPITAL,ZONA 18,
00-18-1071-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ALVARO CONTRERAS VELEZ,CIUDAD CAPITAL,ZONA 18,
00-18-2187-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO EDUCATIVO INTEGRAL GIRON ALFARO CEIGA BACHILLERATO POR MADUREZ,CIUDAD CAPITAL,ZONA 18,
00-18-2918-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADO COLEGIO LICEO LAS COLINAS,CIUDAD CAPITAL,ZONA 18,
00-18-6955-46,COLEGIO EVANGELICO HOGAR DE FE,CIUDAD CAPITAL,ZONA 18,
00-18-7238-46,LICEO DE CIENCIAS Y TECNICAS DE COMPUTACION,CIUDAD CAPITAL,ZONA 18,
00-18-7658-46,LICEO AMERICANO TECNOLOGICO EN COMPUTACION,CIUDAD CAPITAL,ZONA 18,
00-18-8063-46,COLEGIO MIXTO SENDA DEL SABER,CIUDAD CAPITAL,ZONA 18,
00-18-8866-46,CENTRO EDUCATIVO SAN JOSE,CIUDAD CAPITAL,ZONA 18,
00-19-0015-46,COLEGIO CRISTIANO AVIVAMIENTO,CIUDAD CAPITAL,ZONA 19,
00-19-1099-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO NUESTRA SENORA DE LA MEDALLA MILAGROSA,CIUDAD CAPITAL,ZONA 19,
00-19-8013-46,COLEGIO TECNOLOGICO INDUSTRIAL,CIUDAD CAPITAL,ZONA 19,
00-19-9793-46,INSTITUTO DIVERSIFICADO ADSCRITO AL INSTITUTO EXPERIMENTAL DE EDUCACION MEDIA SIMON BOLIVAR,CIUDAD CAPITAL,ZONA 19,
00-21-7067-46,CENTRO INDUSTRIAL JOSE FELIPE FLORES ANEXO A EOUN REPUBLICA DE VENEZUELA,CIUDAD CAPITAL,ZONA 21,
00-21-7974-46,COLEGIO OSORIO SANDOVAL,CIUDAD CAPITAL,ZONA 21,
00-21-7975-46,COLEGIO OSORIO SANDOVAL,CIUDAD CAPITAL,ZONA 21,
00-24-9632-46,CENTRO EDUCATIVO EN COMPUTACION GENESIS,CIUDAD CAPITAL,ZONA 24,
02-01-0038-46,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,EL PROGRESO,GUASTATOYA,
02-01-0230-46,CENTRO EDUCATIVO GUAYACAN,EL PROGRESO,GUASTATOYA,
02-02-0005-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADO MORAZAN,EL PROGRESO,MORAZAN,
02-03-0023-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,
02-03-0102-46,LICEO SAN JOSE,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,
02-03-0136-46,CENTRO EDUCATIVO PRIVADO MIXTO INNOVADOR,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,
02-03-0283-46,COLEGIO PRIVADO MIXTO EL ROSARIO,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,
02-03-0614-46,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA IGER,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,
02-04-0005-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,EL PROGRESO,SAN CRISTOBAL ACASAGUASTLAN,
02-05-0018-46,INSTITUTO NACIONAL TECNOLOGICO DE EDUCACION DIVERSIFICADA DE EL JICARO,EL PROGRESO,EL JICARO,
02-05-0132-46,ESCUELA PARTICULAR MIXTA DE CIENCIAS COMERCIALES,EL PROGRESO,EL JICARO,
02-05-0251-46,INSTITUTO DE EDUCACION BACHILLERATO POR MADUREZ,EL PROGRESO,EL JICARO,
02-05-0453-46,CENTRO EDUCATIVO CON ORIENTACION AMBIENTAL PROFESOR JOSE GUILLERMO SANTOS HERRARTE,EL PROGRESO,EL JICARO,
02-05-0592-46,COLEGIO DIVERSIFICADO EL JICARO,EL PROGRESO,EL JICARO,
02-06-0004-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,EL PROGRESO,SANSARE,
02-06-0006-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,EL PROGRESO,SANSARE,
02-07-0008-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,EL PROGRESO,SANARATE,
02-07-0265-46,CENTRO DE ESTUDIOS Y APLICACIONES EN COMPUTACION CEAC,EL PROGRESO,SANARATE,
02-07-0433-46,COLEGIO VESPERTINO MIXTO LA ASUNCION,EL PROGRESO,SANARATE,
02-07-0438-46,COLEGIO VESPERTINO MIXTO LA ASUNCION,EL PROGRESO,SANARATE,
02-07-0566-46,COLEGIO SAGRADO CORAZON DE JESUS,EL PROGRESO,SANARATE,
02-07-0754-46,COLEGIO PRIVADO MIXTO DE CIENCIAS COMERCIALES SANARATE,EL PROGRESO,SANARATE,
02-08-0535-46,INSTITUTO DIVERSIFICADO POR COOPERATIVA,EL PROGRESO,SAN ANTONIO LA PAZ,
01-01-0007-46,COLEGIO HAN AL AMERICANO,GUATEMALA,GUATEMALA,
01-01-0018-46,LICEO ROMANO AMERICANO,GUATEMALA,GUATEMALA,
01-01-2888-46,CENTRO MIXTO EDUCATIVO EMILENO,GUATEMALA,GUATEMALA,
01-01-2911-46,INSTITUTO MIXTO ANA CATALINA SOBERANIS REYES,GUATEMALA,GUATEMALA,
01-01-3061-46,CENTRO DE ESTUDIOS TECNOLOGICOS,GUATEMALA,GUATEMALA,
01-02-6941-46,INSTITUTO PARTICULAR MIXTO APLICADO EN COMPUTACION ANDRES FILIPPI,GUATEMALA,SANTA CATARINA PINULA,
01-02-7508-46,INSTITUTO PARTICULAR MIXTO APLICADO EN COMPUTACION ANDRES FILIPPI,GUATEMALA,SANTA CATARINA PINULA,
01-02-9748-46,COLEGIO ARRAYANES,GUATEMALA,SANTA CATARINA PINULA,
01-03-0038-46,INSTITUTO EN COMPUTACION SAN JOSE PINULA,GUATEMALA,SAN JOSE PINULA,
01-03-9181-46,COLEGIO EDUCARE JIREH,GUATEMALA,SAN JOSE PINULA,
01-05-2393-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DR FRANCISCO ESCOBAR PEREZ,GUATEMALA,PALENCIA,
01-05-4106-46,COLEGIO CAMPO VERDE,GUATEMALA,PALENCIA,
01-06-0061-46,INSTITUTO NACIONAL PC BRENDA ELIZABETH DEL CID MEDRANO,GUATEMALA,CHINAUTLA,
01-06-0075-46,INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,GUATEMALA,CHINAUTLA,
01-06-2334-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO EDUCATIVO PAULO FREIRE,GUATEMALA,CHINAUTLA,
01-06-3001-46,INSTITUTO MUNICIPAL MIXTO NOCTURNO BASICO Y BACHILLERATO POR MADUREZ DE CHINAUTLA,GUATEMALA,CHINAUTLA,
01-06-7085-46,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA,GUATEMALA,CHINAUTLA,
01-06-8876-46,INSTITUTO PARTICULAR MIXTO NOCTURNO DR EPAMINONDAS QUINTANA,GUATEMALA,CHINAUTLA,
01-06-9313-46,LICEO NAVARRA SOCIEDAD ANONIMA,GUATEMALA,CHINAUTLA,
01-08-0010-46,INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,GUATEMALA,MIXCO,
01-08-0023-46,LICEO MIXTO JUVENTUD GUATEMALTECA,GUATEMALA,MIXCO,
01-08-0032-46,INSTITUTO ELITECH,GUATEMALA,MIXCO,
01-08-0079-46,COLEGIO INTEGRAL COMPETITIVO,GUATEMALA,MIXCO,
01-08-0087-46,LICEO MIXTO NOCTURNO TECNICO MERCANTIL,GUATEMALA,MIXCO,
01-08-0088-46,COLEGIO MIXTO EL QUETZAL,GUATEMALA,MIXCO,
01-08-0094-46,INSTITUTO DE EDUCACION BASICA DOCTOR THEO BLOEM,GUATEMALA,MIXCO,
01-08-0221-46,INSTITUTO PRIVADO ABRAHAM LINCOLN,GUATEMALA,MIXCO,
01-08-0276-46,ESCUELA DE SISTEMAS EN INFORMATICA ZONA 19,GUATEMALA,MIXCO,
01-08-0858-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO COEDUCATIVO PAABANC,GUATEMALA,MIXCO,
01-08-1030-46,COLEGIO CRISTIANO ELIM,GUATEMALA,MIXCO,
01-08-1719-46,ESCUELA TECNICA VOCACIONAL DE HOTELERIA Y HOGAR ALUX,GUATEMALA,MIXCO,
01-08-1724-46,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA SAN AGUSTIN,GUATEMALA,MIXCO,
01-08-1734-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO EVANGELICO HEBRON,GUATEMALA,MIXCO,
01-08-1736-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LOURDES,GUATEMALA,MIXCO,
01-08-1738-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA PAMAXAN,GUATEMALA,MIXCO,
01-08-2420-46,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA LICEO TECNICO COMERCIAL SANTA LUCIA,GUATEMALA,MIXCO,
01-08-2774-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO TECNICO COMERCIAL Y ACADEMIA SANTA LUCIA,GUATEMALA,MIXCO,
01-08-2889-46,INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ SUPERAR Y TRIUNFAR,GUATEMALA,MIXCO,
01-08-2891-46,LICEO COEDUCATIVO GUATEMALTECO,GUATEMALA,MIXCO,
01-08-2899-46,LICEO MARIA INMACULADA,GUATEMALA,MIXCO,
01-08-2900-46,LICEO MARIA INMACULADA,GUATEMALA,MIXCO,
01-08-2912-46,INSTITUTO PRIVADO MIXTO CENTRO PEDAGOGICO SAN FRANCISCO,GUATEMALA,MIXCO,
01-08-2914-46,CENTRO PEDAGOGICO SAN FRANCISCO,GUATEMALA,MIXCO,
01-08-2975-46,SAN LUIS GOZAGA,GUATEMALA,MIXCO,
01-08-2976-46,INSTITUTO PRIVADO MIXTO EL HOGAR,GUATEMALA,MIXCO,
01-08-4164-46,COLEGIO PRIVADO MIXTO EL JARDIN DEL EDEN,GUATEMALA,MIXCO,
01-08-4231-46,CENTRO EDUCATIVO CRISTIANO JERUSALEM,GUATEMALA,MIXCO,
01-08-4547-46,COLEGIO MODERNO DE COMPUTACION C M C,GUATEMALA,MIXCO,
01-08-6198-46,INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO SAN JOSE DE LOS INFANTES,GUATEMALA,MIXCO,
01-08-6285-46,COLEGIO CENTRO EDUCATIVO JUVENIL SUPERACION,GUATEMALA,MIXCO,
01-08-6513-46,LICEO CRISTIANO CAMINO DEL SABER,GUATEMALA,MIXCO,
01-08-6584-46,CENTRO CULTURAL DE AMERICA,GUATEMALA,MIXCO,
01-08-6659-46,LICEO SALAMANCA,GUATEMALA,MIXCO,
01-08-6675-46,COLEGIO SAN JOSE DE LOS INFANTES,GUATEMALA,MIXCO,
01-08-6816-46,COLEGIO MIXTO MONTE REAL,GUATEMALA,MIXCO,
01-08-6850-46,CENTRO EDUCATIVO CARLOS MERIDA,GUATEMALA,MIXCO,
01-08-7238-46,COLEGIO FUTURO AMANECER,GUATEMALA,MIXCO,
01-08-7252-46,CENTRO EDUCATIVO CARLOS MERIDA,GUATEMALA,MIXCO,
01-08-7253-46,CENTRO EDUCATIVO CARLOS MERIDA,GUATEMALA,MIXCO,
01-08-7266-46,ESCUELA EXPERIMENTAL DE APLICACION MIRON MUNOZ,GUATEMALA,MIXCO,
01-08-7471-46,LICEO MIXTO EL PORVENIR,GUATEMALA,MIXCO,
01-08-7668-46,IPMB JOSE JOAQUIN PALMA,GUATEMALA,MIXCO,
01-08-7680-46,COLEGIO BROWN S POR MADUREZ,GUATEMALA,MIXCO,
01-08-7692-46,CENTRO EDUCATIVO EFICIENCIA POR MADUREZ,GUATEMALA,MIXCO,
01-08-7693-46,CENTRO EDUCATIVO EFICIENCIA,GUATEMALA,MIXCO,
01-08-7770-46,COLEGIO CIENCIA TRABAJO Y VIRTUD,GUATEMALA,MIXCO,
01-08-7772-46,COLEGIO CIENCIA TRABAJO Y VIRTUD,GUATEMALA,MIXCO,
01-08-7968-46,LICEO MINERVA,GUATEMALA,MIXCO,
01-08-7973-46,ESCUELA PARA ADULTOS SPENCER W KIMBALL,GUATEMALA,MIXCO,
01-08-8354-46,COLEGIO CATOLICO LOS OLIVOS,GUATEMALA,MIXCO,
01-08-8405-46,COLEGIO REAL ESPANOL,GUATEMALA,MIXCO,
01-08-8406-46,COLEGIO REAL ESPANOL,GUATEMALA,MIXCO,
01-08-8407-46,COLEGIO REAL ESPANOL,GUATEMALA,MIXCO,
01-08-8559-46,COLEGIO JESUS REY DE GLORIA,GUATEMALA,MIXCO,
01-08-8561-46,COLEGIO JESUS REY DE GLORIA,GUATEMALA,MIXCO,
01-08-8742-46,CENTRO EDUCATIVO ADVENIAT VENGA A NOSOTROS,GUATEMALA,MIXCO,
01-08-9327-46,LICEO CANADIENSE ROOSEVELT,GUATEMALA,MIXCO,
01-08-9328-46,LICEO CANADIENSE ROOSEVELT,GUATEMALA,MIXCO,
01-08-9330-46,LICEO CANADIENSE ROOSEVELT,GUATEMALA,MIXCO,
01-08-9332-46,LICEO CANADIENSE ROOSEVELT,GUATEMALA,MIXCO,
01-08-9398-46,INSTITUTO TECNOLOGICO VOCACIONAL MINERVA,GUATEMALA,MIXCO,
01-08-9667-46,COLEGIO PROYECTO EDUCATIVO FUTURISTA,GUATEMALA,MIXCO,
01-08-9668-46,COLEGIO PROYECTO EDUCATIVO FUTURISTA,GUATEMALA,MIXCO,
01-08-9713-46,LICEO MODERNO SAN CRISTOBAL JORNADA VESPERTINA,GUATEMALA,MIXCO,
01-10-1832-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA SAN JUAN,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-10-2672-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO CULTURAL ABC,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-10-6476-46,LICEO INTEGRAL CIENTIFICO,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-10-7978-46,LICEO MIXTO YOSHUA JESUS SALVADOR,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-10-9529-46,COLEGIO MIXTO ATENAS,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-10-9556-46,ESCUELA POLITECNICA,GUATEMALA,SAN JUAN SACATEPEQUEZ,
01-11-4000-46,ESCUELA DE CIENCIAS COMERCIALES ADSCRITO AL INEB,GUATEMALA,SAN RAYMUNDO,
01-11-9475-46,COLEGIO MIXTO SAN RAYMUNDO,GUATEMALA,SAN RAYMUNDO,
01-12-0004-46,INSTITUTO DIVERSIFICADO POR COOPERATIVA,GUATEMALA,CHUARRANCHO,
01-13-2892-46,COLEGIO BILINGUE VALENCIA,GUATEMALA,FRAIJANES,
01-13-2916-46,IEBC,GUATEMALA,FRAIJANES,
01-13-8878-46,INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA FRAIJANES I M E D FRAIJANES,GUATEMALA,FRAIJANES,
01-13-9630-46,COLEGIO MONTE ALTO,GUATEMALA,FRAIJANES,
01-14-0013-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,GUATEMALA,AMATITLAN,
01-14-0014-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,GUATEMALA,AMATITLAN,
01-14-0016-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,GUATEMALA,AMATITLAN,
01-14-0018-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,GUATEMALA,AMATITLAN,
01-14-0135-46,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,GUATEMALA,AMATITLAN,
01-14-0209-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,GUATEMALA,AMATITLAN,
01-14-1923-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA,GUATEMALA,AMATITLAN,
01-14-2424-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MODERNO AMATITLAN,GUATEMALA,AMATITLAN,
01-14-4008-46,COLEGIO EVANGELICO MONTE SION SABATINO,GUATEMALA,AMATITLAN,
01-14-6185-46,COLEGIO MIXTO MODERNO,GUATEMALA,AMATITLAN,
01-14-7048-46,INSTITUTO HAZ DEL SABER,GUATEMALA,AMATITLAN,
01-14-7808-46,COLEGIO CRISTIANO CAMINO DE VIDA,GUATEMALA,AMATITLAN,
01-14-7918-46,COLEGIO SAN LORENZO,GUATEMALA,AMATITLAN,
01-14-7920-46,COLEGIO SAN LORENZO,GUATEMALA,AMATITLAN,
01-14-9538-46,COLEGIO CRISTIANO UN NUEVO DIA,GUATEMALA,AMATITLAN,
01-14-9709-46,COLEGIO CRISTIANO UN NUEVO DIA,GUATEMALA,AMATITLAN,
01-14-9844-46,COLEGIO BILINGUE MONTE SOFIA,GUATEMALA,AMATITLAN,
01-15-0051-46,INSTITUTO MIXTO NOCTURNO DE FORMACION TECNICA INTEGRAL CENTROAMERICANO,GUATEMALA,VILLA NUEVA,
01-15-0052-46,CENTRO EDUCATIVO JOSE MILLA Y VIDAURRE,GUATEMALA,VILLA NUEVA,
01-15-0063-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,GUATEMALA,VILLA NUEVA,
01-15-0074-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,GUATEMALA,VILLA NUEVA,
01-15-0102-46,COLEGIO CRISTIANO HERMOSO JESUS,GUATEMALA,VILLA NUEVA,
01-15-0106-46,COLEGIO CRISTIANO EL OLIVO,GUATEMALA,VILLA NUEVA,
01-15-0108-46,COLEGIO MIXTO REAL EL VALLE,GUATEMALA,VILLA NUEVA,
01-15-0138-46,INSTITUTO MIXTO NOCTURNO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ Y COMERCIAL 17 DE ABRIL,GUATEMALA,VILLA NUEVA,
